4/23/99,Ott,CQF,"Buf 3, Ott 2",Miroslav Satan,30:35:00,Buf
6/11/98,Det,F,"Det 5, Was 4",Kris Draper,15:24,Det
6/4/98,Buf,CF,"Was 3, Buf 2",Joe Juneau,6:24,Was
6/3/98,Dal,CF,"Dal 3, Det 2",Jamie Langenbrunner,0:46,Det
5/28/98,Buf,CF,"Was 4, Buf 3",Peter Bondra,9:37,Was
5/25/98,Was,CF,"Was 3, Buf 2",Todd Krygier,3:01,Was
5/12/98,Stl,CSF,"Det 3, Stl 2",Brendan Shanahan,31:12:00,Det
5/12/98,Mon,CSF,"Buf 5, Mon 4",Michael Peca,21:24,Buf
5/11/98,Edm,CSF,"Dal 1, Edm 0",Benoit Hogue,13:07,Dal
5/3/98,Buf,CSF,"Buf 3, Mon 2",Geoff Sanderson,2:37,Buf
5/3/98,Bos,CQF,"Was 3, Bos 2",Brian Bellows,15:24,Was
5/2/98,SJ,CQF,"Dal 3, SJ 2",Mike Keane,3:43,Dal
5/1/98,Phi,CQF,"Buf 3, Phi 2",Michael Grosek,5:40,Buf
4/28/98,SJ,CQF,"SJ 1, Dal 0",Andrei Zyuzin,6:31,Dal
4/26/98,Edm,CQF,"Col 5, Edm 4",Joe Sakic,15:25,Edm
4/26/98,Wsh,CQF,"Was 3, Bos 2",Joe Juneau,26:31:00,Wsh
4/26/98,Ott,CQF,"Ott. 2, N.J. 1",Alexei Yashin,2:47,Ott
4/24/98,Wsh,CQF,"Bos 4, Was 3",Darren Van Impe,20:54,Wsh
4/23/98,Pit.,CQF,"Mon 3, Pit 2",Benoit Brunet,18:43,Mon
4/22/98,N.J.,CQF,"Ott 2, N.J. 1",Bruce Gardiner,5:58,Ott
5/11/97,N.J.,CSF,"NYR 2, N.J. 1",Adam Graves,14:08,NYR
5/9/97,Phi,CSF,"Buf 5, Phi 4",Ed Ronan,6:24,Phi
5/9/97,Edm,CSF,"Col 3, Edm 2",Claude Lemieux,8:35,Col
5/8/97,Ana,CSF,"Det 3, Ana 2",Brendan Shanahan,37:03:00,Det
5/4/97,Det,CSF,"Det 3, Ana 2",Vyacheslav Kozlov,41:31:00,Det
5/2/97,Det,CSF,"Det 2, Ana 1",Martin Lapointe,0:59,Det
4/29/97,Dal,CQF,"Edm 4, Dal 3",Todd Marchant,12:26,Edm
4/29/97,Buf,CQF,"Buf 3, Ott 2",Derek Plante,5:24,Buf
4/27/97,Pho,CQF,"Ana 3, Pho 2",Paul Kariya,7:29,Ana
4/25/97,NYR,CQF,"NYR 3, Flo 2",Esa Tikkanen,12:08,NYR
4/25/97,Dal,CQF,"Edm 1, Dal 0",Ryan Smyth,20:22,Edm
4/24/97,Mon,CQF,"Mon 4, NJ 3",Patrice Brisebois,47:37:00,NJ
4/23/97,Ott,CQF,"Ott 1, Buf 0",Daniel Alfredsson,2:34,Buf
4/22/97,NYR,CQF,"NYR 4, Fla 3",Esa Tikkanen,16:22,NYR
4/20/97,Edm,CQF,"Edm 4, Dal 3",Kelly Buchberger,9:15,Edm
4/20/97,Chi,CQF,"Chi 4, Col 3",Sergei Krivokrasov,31:03:00,Col
6/10/96,Fla,F,"Col 1, Fla 0",Uwe Krupp,44:31:00,Col
5/19/96,Det,CF,"Col 3, Det 2",Mike Keane,17:31,Col
5/16/96,Det,CSF,"Det 1, St L",Steve Yzerman,21:15,Det
5/13/96,Chi,CSF,"Col 4, Chi 3",Sandis Ozolinsh,25:18:00,Col
5/12/96,Phi,CSF,"Fla 2, Phi 1",Mike Hough,28:05:00,Fla
5/9/96,Fla,CSF,"Fla 4, Phi 3",Dave Lowry,4:06,Fla
5/8/96,Chi,CSF,"Col 3, Chi 2",Joe Sakic,44:33:00,Col
5/8/96,StL,CSF,"St L 5, Det 4",Igor Kravchak,3:23,Det
5/6/96,Chi,CSF,"Chi 4, Col 3",Sergei Krivokrasov,0:46,Col
5/2/96,Col,CSF,"Chi 3, Col 2",Jeremy Roenick,6:29,Col
4/25/96,Tor,CQF,"Tor 5, St L 4",Mike Gartner,7:31,StL
4/25/96,Col,CQF,"Col 5, Van 4",Joe Sakic,0:51,Col
4/24/96,Wash,CQF,"Pit 3, Was 2",Petr Nedved,79:15:00,Pit
4/23/96,Chi,CQF,"Chi 2, Cgy 1",Joe Murphy,50:02:00,Chi
4/21/96,StL,CQF,"StL 3, Tor 2",Glenn Anderson,1:24,StL
4/21/96,TB,CQF,"TB 5, Phi 4",Alexander Selivanov,2:04,Phi
4/18/96,Phi,CQF,"TB 2, Phi 1",Brian Bellows,9:05,Phi
4/16/96,NYR,CQF,"Mtl 3, NYR 2",Vincent Damphousse,5:04,NYR
4/8/96,Tor,CQF,"Tor 5, StL 4",Mats Sundin,4:02,StL
